year,month,day,hour,minute,second,millisecond,UTC,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,open_CB1-FDR1,open_CB2-FDR2,open_CB-FDR3,open_CB-FDR4,I_FDR1,I_FDR2,I_FDR3,I_FDR4
2021,4,25,16,23,16,854,1619331796.854000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,16,970,1619331796.970000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,17,98,1619331797.098000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,17,218,1619331797.218000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,17,342,1619331797.342000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,17,462,1619331797.462000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,17,579,1619331797.579000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,17,702,1619331797.702000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,17,827,1619331797.827000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,17,953,1619331797.953000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,18,70,1619331798.070000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,18,187,1619331798.187000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,18,303,1619331798.303000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,18,428,1619331798.428000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,18,551,1619331798.551000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,18,678,1619331798.678000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,18,799,1619331798.799000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,18,917,1619331798.917000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,19,40,1619331799.040000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,19,162,1619331799.162000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,19,281,1619331799.281000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,19,396,1619331799.396000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,19,521,1619331799.521000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,19,639,1619331799.639000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,19,770,1619331799.770000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,19,889,1619331799.889000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,20,13,1619331800.013000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,20,147,1619331800.147000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,20,280,1619331800.280000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,20,400,1619331800.400000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,20,526,1619331800.526000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,20,649,1619331800.649000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,20,782,1619331800.782000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,20,904,1619331800.904000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,21,34,1619331801.034000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,21,153,1619331801.153000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,21,279,1619331801.279000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,21,399,1619331801.399000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,21,533,1619331801.533000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,21,655,1619331801.655000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,21,784,1619331801.784000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,21,911,1619331801.911000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,22,39,1619331802.039000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,22,161,1619331802.161000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,22,284,1619331802.284000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,22,403,1619331802.403000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,22,520,1619331802.520000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,22,641,1619331802.641000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,22,770,1619331802.770000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,22,890,1619331802.890000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,23,8,1619331803.008000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,23,123,1619331803.123000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,23,243,1619331803.243000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,23,364,1619331803.364000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,23,483,1619331803.483000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,23,607,1619331803.607000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,23,727,1619331803.727000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,23,861,1619331803.861000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,23,983,1619331803.983000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,24,106,1619331804.106000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,24,224,1619331804.224000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,24,355,1619331804.355000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,24,479,1619331804.479000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,24,600,1619331804.600000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,24,719,1619331804.719000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,24,842,1619331804.842000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,24,970,1619331804.970000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,25,90,1619331805.090000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,25,206,1619331805.206000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,25,336,1619331805.336000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,25,459,1619331805.459000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,25,585,1619331805.585000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,25,703,1619331805.703000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,25,820,1619331805.820000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,25,938,1619331805.938000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,26,59,1619331806.059000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,26,186,1619331806.186000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,26,310,1619331806.310000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,26,431,1619331806.431000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,26,549,1619331806.549000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,26,673,1619331806.673000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,26,795,1619331806.795000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,26,918,1619331806.918000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,27,45,1619331807.045000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,27,166,1619331807.166000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,27,293,1619331807.293000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,27,421,1619331807.421000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,27,543,1619331807.543000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,27,667,1619331807.667000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,27,796,1619331807.796000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,27,918,1619331807.918000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,28,41,1619331808.041000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,28,158,1619331808.158000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,28,282,1619331808.282000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,28,398,1619331808.398000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,28,518,1619331808.518000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,28,643,1619331808.643000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,28,758,1619331808.758000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,28,884,1619331808.884000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,29,2,1619331809.002000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,29,121,1619331809.121000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,29,242,1619331809.242000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,29,367,1619331809.367000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,29,492,1619331809.492000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,29,616,1619331809.616000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,29,740,1619331809.740000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,29,859,1619331809.859000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,29,981,1619331809.981000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,30,100,1619331810.100000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,30,216,1619331810.216000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,30,344,1619331810.344000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,30,468,1619331810.468000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,30,594,1619331810.594000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,30,716,1619331810.716000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,30,840,1619331810.840000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,30,972,1619331810.972000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,31,97,1619331811.097000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,31,215,1619331811.215000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,31,332,1619331811.332000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,31,456,1619331811.456000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,31,578,1619331811.578000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,31,706,1619331811.706000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,31,833,1619331811.833000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,31,956,1619331811.956000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,32,88,1619331812.088000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,32,217,1619331812.217000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,32,344,1619331812.344000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,32,471,1619331812.471000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,32,590,1619331812.590000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,32,715,1619331812.715000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,32,833,1619331812.833000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,32,950,1619331812.950000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,33,69,1619331813.069000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,33,201,1619331813.201000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,33,325,1619331813.325000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,33,443,1619331813.443000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,33,560,1619331813.560000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,33,693,1619331813.693000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,33,817,1619331813.817000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,33,940,1619331813.940000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,34,69,1619331814.069000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,34,187,1619331814.187000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,34,320,1619331814.320000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,34,437,1619331814.437000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,34,573,1619331814.573000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,34,699,1619331814.699000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,34,826,1619331814.826000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,34,943,1619331814.943000,0,0,0,0,0,0,0,26,26,26,26,
