year,month,day,hour,minute,second,millisecond,UTC,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,open_CB1-FDR1,open_CB2-FDR2,open_CB-FDR3,open_CB-FDR4,I_FDR1,I_FDR2,I_FDR3,I_FDR4
2021,3,25,15,28,59,132,1616650139.132000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,59,257,1616650139.257000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,59,382,1616650139.382000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,59,510,1616650139.510000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,59,624,1616650139.624000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,59,740,1616650139.740000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,59,861,1616650139.861000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,59,985,1616650139.985000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,29,0,116,1616650140.116000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,29,0,241,1616650140.241000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,29,0,363,1616650140.363000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,29,0,489,1616650140.489000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,29,0,610,1616650140.610000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,29,0,729,1616650140.729000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,29,0,853,1616650140.853000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,29,0,968,1616650140.968000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,29,1,96,1616650141.096000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,29,1,221,1616650141.221000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,29,1,340,1616650141.340000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,29,1,463,1616650141.463000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,29,1,584,1616650141.584000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,29,1,705,1616650141.705000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,29,1,827,1616650141.827000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,29,1,949,1616650141.949000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,29,2,67,1616650142.067000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,29,2,186,1616650142.186000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,29,2,306,1616650142.306000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,29,2,429,1616650142.429000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,29,2,558,1616650142.558000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,29,2,674,1616650142.674000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,29,2,799,1616650142.799000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,29,2,920,1616650142.920000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,29,3,41,1616650143.041000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,29,3,163,1616650143.163000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,29,3,288,1616650143.288000,0,0,0,0,0,0,0,26,26,26,26,
