pkt arrive time in UTC,Heartbeat,MACsrc,MACdst,APPID,GOOSElength,gocbRef,Timeallowedtolive,datset,goID,t,Dif_St,Dif_Sq,stNum,sqNum,istest?,num of data,data_Dec,data,I_CB1-66KV,I_CB2-66KV,I_CB3-66KV,I_TRSF1-W1,I_TRSF1-W2,I_CB-TRSF1,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV,I_FDR1,I_FDR2,I_FDR3,I_FDR4,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
1619331808.61999,1.00075,11,255,3,152,1131,2000,PIOC,131,1619331784,0,1,1,23,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331808.88167,1.00028,32,255,2,147,1121,2000,PIOC,121,1619331782,0,1,1,25,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331809.14333,1.00043,23,255,1,147,1111,2000,PIOC,111,1619331784,0,1,1,24,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331809.58815,1.00036,99,255,4,142,1231,2000,BFP,231,1619331782,0,1,1,26,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331809.62064,1.00065,11,255,3,152,1131,2000,PIOC,131,1619331784,0,1,1,24,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331809.88152,0.99985,32,255,2,147,1121,2000,PIOC,121,1619331782,0,1,1,26,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331810.14364,1.00031,23,255,1,147,1111,2000,PIOC,111,1619331784,0,1,1,25,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331810.58922,1.00107,99,255,4,142,1231,2000,BFP,231,1619331782,0,1,1,27,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331810.62166,1.00102,11,255,3,152,1131,2000,PIOC,131,1619331784,0,1,1,25,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331810.88124,0.99972,32,255,2,147,1121,2000,PIOC,121,1619331782,0,1,1,27,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331811.14464,1.00100,23,255,1,147,1111,2000,PIOC,111,1619331784,0,1,1,26,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331811.58947,1.00025,99,255,4,142,1231,2000,BFP,231,1619331782,0,1,1,28,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331811.62189,1.00023,11,255,3,152,1131,2000,PIOC,131,1619331784,0,1,1,26,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331811.88153,1.00029,32,255,2,147,1121,2000,PIOC,121,1619331782,0,1,1,28,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331812.14494,1.00030,23,255,1,147,1111,2000,PIOC,111,1619331784,0,1,1,27,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331812.58998,1.00051,99,255,4,142,1231,2000,BFP,231,1619331782,0,1,1,29,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
